db,model,auc
ecoli-0-1_vs_5,cosineBRM,0.3295454545454546
ecoli-0-1_vs_5,chebyshevBRM,0.2897727272727273
ecoli-0-1_vs_2-3-5,BRM,0.22272727272727272
ecoli-0-1_vs_2-3-5,GMM,0.5
ecoli-0-1_vs_2-3-5,ISOF,0.17954545454545454
ecoli-0-1_vs_2-3-5,OCSVM,0.26136363636363635
ecoli-0-1_vs_2-3-5,manhattanBRM,0.18181818181818182
ecoli-0-1_vs_2-3-5,cosineBRM,0.3
ecoli-0-1_vs_2-3-5,chebyshevBRM,0.21818181818181817
ecoli-0-1-4-7_vs_5-6,BRM,0.3193548387096774
ecoli-0-1-4-7_vs_5-6,GMM,0.4080645161290323
ecoli-0-1-4-7_vs_5-6,ISOF,0.39677419354838717
ecoli-0-1-4-7_vs_5-6,OCSVM,0.4419354838709677
ecoli-0-1-4-7_vs_5-6,manhattanBRM,0.267741935483871
ecoli-0-1-4-7_vs_5-6,cosineBRM,0.34838709677419355
ecoli-0-1-4-7_vs_5-6,chebyshevBRM,0.29032258064516125
ecoli-0-1-4-7_vs_2-3-5-6,BRM,0.28494623655913975
ecoli-0-1-4-7_vs_2-3-5-6,GMM,0.20161290322580644
ecoli-0-1-4-7_vs_2-3-5-6,ISOF,0.3709677419354839
ecoli-0-1-4-7_vs_2-3-5-6,OCSVM,0.4569892473118279
ecoli-0-1-4-7_vs_2-3-5-6,manhattanBRM,0.24731182795698925
ecoli-0-1-4-7_vs_2-3-5-6,cosineBRM,0.3118279569892473
ecoli-0-1-4-7_vs_2-3-5-6,chebyshevBRM,0.29301075268817206
ecoli-0-1-4-6_vs_5,BRM,0.18749999999999997
ecoli-0-1-4-6_vs_5,GMM,0.49038461538461536
ecoli-0-1-4-6_vs_5,ISOF,0.20192307692307693
ecoli-0-1-4-6_vs_5,OCSVM,0.22115384615384615
ecoli-0-1-4-6_vs_5,manhattanBRM,0.1730769230769231
ecoli-0-1-4-6_vs_5,cosineBRM,0.34615384615384615
ecoli-0-1-4-6_vs_5,chebyshevBRM,0.20192307692307693
ecoli-0-1-3-7_vs_2-6,BRM,0.07272727272727275
ecoli-0-1-3-7_vs_2-6,GMM,0.9909090909090909
ecoli-0-1-3-7_vs_2-6,ISOF,0.08181818181818185
ecoli-0-1-3-7_vs_2-6,OCSVM,0.2272727272727273
ecoli-0-1-3-7_vs_2-6,manhattanBRM,0.09090909090909094
ecoli-0-1-3-7_vs_2-6,cosineBRM,0.036363636363636376
ecoli-0-1-3-7_vs_2-6,chebyshevBRM,0.07272727272727275
dermatology-6,BRM,0.33088235294117646
dermatology-6,GMM,0.8014705882352942
dermatology-6,ISOF,0.22058823529411764
dermatology-6,OCSVM,0.21323529411764708
dermatology-6,manhattanBRM,0.27941176470588236
dermatology-6,cosineBRM,0.20955882352941174
dermatology-6,chebyshevBRM,0.28308823529411764
cleveland-0_vs_4,BRM,0.020833333333333332
cleveland-0_vs_4,GMM,0.7552083333333333
cleveland-0_vs_4,ISOF,0.15625
cleveland-0_vs_4,OCSVM,0.44791666666666663
cleveland-0_vs_4,manhattanBRM,0.010416666666666666
